"decimal","binary"
0,"00000000"
1,"00000001"
2,"00000010"
4,"00000100"
8,"00001000"
16,"00010000"
32,"00100000"
64,"01000000"
128,"10000000"
29,"00011101"
58,"00111010"
116,"01110100"
232,"11101000"
205,"11001101"
135,"10000111"
19,"00010011"
38,"00100110"
76,"01001100"
152,"10011000"
45,"00101101"
90,"01011010"
180,"10110100"
117,"01110101"
234,"11101010"
201,"11001001"
143,"10001111"
3,"00000011"
6,"00000110"
12,"00001100"
24,"00011000"
48,"00110000"
96,"01100000"
192,"11000000"
157,"10011101"
39,"00100111"
78,"01001110"
156,"10011100"
37,"00100101"
74,"01001010"
148,"10010100"
53,"00110101"
106,"01101010"
212,"11010100"
181,"10110101"
119,"01110111"
238,"11101110"
193,"11000001"
159,"10011111"
35,"00100011"
70,"01000110"
140,"10001100"
5,"00000101"
10,"00001010"
20,"00010100"
40,"00101000"
80,"01010000"
160,"10100000"
93,"01011101"
186,"10111010"
105,"01101001"
210,"11010010"
185,"10111001"
111,"01101111"
222,"11011110"
161,"10100001"
95,"01011111"
190,"10111110"
97,"01100001"
194,"11000010"
153,"10011001"
47,"00101111"
94,"01011110"
188,"10111100"
101,"01100101"
202,"11001010"
137,"10001001"
15,"00001111"
30,"00011110"
60,"00111100"
120,"01111000"
240,"11110000"
253,"11111101"
231,"11100111"
211,"11010011"
187,"10111011"
107,"01101011"
214,"11010110"
177,"10110001"
127,"01111111"
254,"11111110"
225,"11100001"
223,"11011111"
163,"10100011"
91,"01011011"
182,"10110110"
113,"01110001"
226,"11100010"
217,"11011001"
175,"10101111"
67,"01000011"
134,"10000110"
17,"00010001"
34,"00100010"
68,"01000100"
136,"10001000"
13,"00001101"
26,"00011010"
52,"00110100"
104,"01101000"
208,"11010000"
189,"10111101"
103,"01100111"
206,"11001110"
129,"10000001"
31,"00011111"
62,"00111110"
124,"01111100"
248,"11111000"
237,"11101101"
199,"11000111"
147,"10010011"
59,"00111011"
118,"01110110"
236,"11101100"
197,"11000101"
151,"10010111"
51,"00110011"
102,"01100110"
204,"11001100"
133,"10000101"
23,"00010111"
46,"00101110"
92,"01011100"
184,"10111000"
109,"01101101"
218,"11011010"
169,"10101001"
79,"01001111"
158,"10011110"
33,"00100001"
66,"01000010"
132,"10000100"
21,"00010101"
42,"00101010"
84,"01010100"
168,"10101000"
77,"01001101"
154,"10011010"
41,"00101001"
82,"01010010"
164,"10100100"
85,"01010101"
170,"10101010"
73,"01001001"
146,"10010010"
57,"00111001"
114,"01110010"
228,"11100100"
213,"11010101"
183,"10110111"
115,"01110011"
230,"11100110"
209,"11010001"
191,"10111111"
99,"01100011"
198,"11000110"
145,"10010001"
63,"00111111"
126,"01111110"
252,"11111100"
229,"11100101"
215,"11010111"
179,"10110011"
123,"01111011"
246,"11110110"
241,"11110001"
255,"11111111"
227,"11100011"
219,"11011011"
171,"10101011"
75,"01001011"
150,"10010110"
49,"00110001"
98,"01100010"
196,"11000100"
149,"10010101"
55,"00110111"
110,"01101110"
220,"11011100"
165,"10100101"
87,"01010111"
174,"10101110"
65,"01000001"
130,"10000010"
25,"00011001"
50,"00110010"
100,"01100100"
200,"11001000"
141,"10001101"
7,"00000111"
14,"00001110"
28,"00011100"
56,"00111000"
112,"01110000"
224,"11100000"
221,"11011101"
167,"10100111"
83,"01010011"
166,"10100110"
81,"01010001"
162,"10100010"
89,"01011001"
178,"10110010"
121,"01111001"
242,"11110010"
249,"11111001"
239,"11101111"
195,"11000011"
155,"10011011"
43,"00101011"
86,"01010110"
172,"10101100"
69,"01000101"
138,"10001010"
9,"00001001"
18,"00010010"
36,"00100100"
72,"01001000"
144,"10010000"
61,"00111101"
122,"01111010"
244,"11110100"
245,"11110101"
247,"11110111"
243,"11110011"
251,"11111011"
235,"11101011"
203,"11001011"
139,"10001011"
11,"00001011"
22,"00010110"
44,"00101100"
88,"01011000"
176,"10110000"
125,"01111101"
250,"11111010"
233,"11101001"
207,"11001111"
131,"10000011"
27,"00011011"
54,"00110110"
108,"01101100"
216,"11011000"
173,"10101101"
71,"01000111"
142,"10001110"
